,company_name,company_market,company_country_code,company_state_code,company_region,company_city,funding_round_type,funding_round_code,funded_at,funded_month, funded_quarter ,funded_year,raised_amount_usd,founded_at
4172,Tilt,Finance,USA,CA,SF Bay Area,San Francisco,venture,B,2013-12-16,2013-12, 2013-Q4 ,2013.0,23000000,2012-02-08
4173,Timehop,Photography,USA,NY,New York City,New York,seed/angel,0,2012-01-22,2012-01, 2012-Q1 ,2012.0,1100000,2010-01-01
4174,Timehop,Photography,USA,NY,New York City,New York,venture,A,2013-07-25,2013-07, 2013-Q3 ,2013.0,3000000,2010-01-01
4175,Timehop,Photography,USA,NY,New York City,New York,venture,B,2014-07-22,2014-07, 2014-Q3 ,2014.0,10000000,2010-01-01
4176,TinderBox,Document Management,USA,IN,Indianapolis,Indianapolis,venture,B,2013-02-25,2013-02, 2013-Q1 ,2013.0,1300000,2010-01-01
4177,TinderBox,Document Management,USA,IN,Indianapolis,Indianapolis,venture,C,2014-03-26,2014-03, 2014-Q1 ,2014.0,3000000,2010-01-01
4178,Tintri,Virtualization,USA,CA,SF Bay Area,Mountain View,venture,C,2011-06-15,2011-06, 2011-Q2 ,2011.0,18000000,2008-01-01
4179,Tintri,Virtualization,USA,CA,SF Bay Area,Mountain View,venture,E,2014-02-13,2014-02, 2014-Q1 ,2014.0,75000000,2008-01-01
4180,TinyCo,Games,USA,CA,SF Bay Area,San Francisco,venture,A,2011-02-25,2011-02, 2011-Q1 ,2011.0,18000000,2009-01-01
4181,TinyCo,Games,USA,CA,SF Bay Area,San Francisco,venture,B,2013-11-14,2013-11, 2013-Q4 ,2013.0,20000000,2009-01-01
4182,Tinybop,Software,USA,NY,New York City,Brooklyn,seed/angel,0,2012-11-01,2012-11, 2012-Q4 ,2012.0,1000000,2011-11-01
4183,Tinybop,Software,USA,NY,New York City,Brooklyn,venture,A,2014-05-23,2014-05, 2014-Q2 ,2014.0,5000000,2011-11-01
4184,Tocagen,Biotechnology,USA,CA,San Diego,San Diego,venture,B,2009-06-02,2009-06, 2009-Q2 ,2009.0,10846000,2007-01-01
4185,Tocagen,Biotechnology,USA,CA,San Diego,San Diego,venture,C,2009-11-23,2009-11, 2009-Q4 ,2009.0,9116162,2007-01-01
4186,Tocagen,Biotechnology,USA,CA,San Diego,San Diego,venture,D,2010-03-09,2010-03, 2010-Q1 ,2010.0,7800000,2007-01-01
4187,TokBox,Archiving,USA,CA,SF Bay Area,San Francisco,venture,A,2007-12-26,2007-12, 2007-Q4 ,2007.0,4000000,2007-05-01
4188,TokBox,Archiving,USA,CA,SF Bay Area,San Francisco,venture,B,2008-08-06,2008-08, 2008-Q3 ,2008.0,10000000,2007-05-01
4189,TokBox,Archiving,USA,CA,SF Bay Area,San Francisco,venture,C,2010-11-15,2010-11, 2010-Q4 ,2010.0,12000000,2007-05-01
4190,Tongal,Entertainment,USA,CA,Los Angeles,Santa Monica,venture,A,2008-06-01,2008-06, 2008-Q2 ,2008.0,1246000,2009-05-01
4191,Tongal,Entertainment,USA,CA,Los Angeles,Santa Monica,venture,B,2012-12-26,2012-12, 2012-Q4 ,2012.0,15000000,2009-05-01
4192,Tongal,Entertainment,USA,CA,Los Angeles,Santa Monica,venture,C,2014-10-14,2014-10, 2014-Q4 ,2014.0,5000000,2009-05-01
4193,TopSchool,Education,USA,CO,Denver,Denver,venture,A,2008-06-17,2008-06, 2008-Q2 ,2008.0,3200000,2008-05-01
4194,TopSchool,Education,USA,CO,Denver,Denver,venture,B,2009-03-10,2009-03, 2009-Q1 ,2009.0,7000000,2008-05-01
4195,TopSchool,Education,USA,CO,Denver,Denver,venture,C,2010-07-20,2010-07, 2010-Q3 ,2010.0,8000000,2008-05-01
4196,Topera,Medical Devices,USA,CA,San Diego,San Diego,seed/angel,0,2012-05-15,2012-05, 2012-Q2 ,2012.0,2748531,2010-01-01
4197,Topera,Medical Devices,USA,CA,San Diego,San Diego,venture,C,2013-04-25,2013-04, 2013-Q2 ,2013.0,25000000,2010-01-01
4198,Topsy Labs,Twitter Applications,USA,CA,SF Bay Area,San Francisco,venture,A,2008-01-01,2008-01, 2008-Q1 ,2008.0,900000,2007-01-15
4199,Topsy Labs,Twitter Applications,USA,CA,SF Bay Area,San Francisco,venture,B,2008-12-01,2008-12, 2008-Q4 ,2008.0,11000000,2007-01-15
4200,Topsy Labs,Twitter Applications,USA,CA,SF Bay Area,San Francisco,venture,C,2011-03-10,2011-03, 2011-Q1 ,2011.0,15000000,2007-01-15
4201,Total Beauty Media,News,USA,CA,Los Angeles,Santa Monica,venture,A,2007-03-01,2007-03, 2007-Q1 ,2007.0,2000000,2007-02-06
4202,Total Beauty Media,News,USA,CA,Los Angeles,Santa Monica,venture,B,2007-08-01,2007-08, 2007-Q3 ,2007.0,8000000,2007-02-06
4203,Total Beauty Media,News,USA,CA,Los Angeles,Santa Monica,venture,C,2008-12-20,2008-12, 2008-Q4 ,2008.0,6000000,2007-02-06
4204,Totango,Customer Service,USA,CA,SF Bay Area,Palo Alto,venture,A,2011-07-28,2011-07, 2011-Q3 ,2011.0,3800000,2010-05-01
4205,Totango,Customer Service,USA,CA,SF Bay Area,Palo Alto,venture,B,2014-02-05,2014-02, 2014-Q1 ,2014.0,15500000,2010-05-01
4206,TouchOfModern,Design,USA,CA,SF Bay Area,San Francisco,venture,A,2013-07-11,2013-07, 2013-Q3 ,2013.0,3000000,2012-05-01
4207,TouchOfModern,Design,USA,CA,SF Bay Area,San Francisco,venture,B,2014-06-19,2014-06, 2014-Q2 ,2014.0,14000000,2012-05-01
4208,Tout,Video,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2010-12-15,2010-12, 2010-Q4 ,2010.0,2000000,2010-01-01
4209,Tout,Video,USA,CA,SF Bay Area,San Francisco,venture,A,2012-06-29,2012-06, 2012-Q2 ,2012.0,13400000,2010-01-01
4210,ToutApp,Software,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2011-05-15,2011-05, 2011-Q2 ,2011.0,350000,2011-05-01
4211,ToutApp,Software,USA,CA,SF Bay Area,San Francisco,venture,A,2013-11-10,2013-11, 2013-Q4 ,2013.0,3350000,2011-05-01
4212,TownHog,E-Commerce,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2008-05-01,2008-05, 2008-Q2 ,2008.0,1877298,2007-01-01
4213,TownHog,E-Commerce,USA,CA,SF Bay Area,San Francisco,venture,B,2010-09-01,2010-09, 2010-Q3 ,2010.0,1512066,2007-01-01
4214,Tracelytics,Enterprise Software,USA,RI,Providence,Providence,seed/angel,0,2011-11-03,2011-11, 2011-Q4 ,2011.0,600000,2010-07-01
4215,Tracelytics,Enterprise Software,USA,RI,Providence,Providence,venture,A,2012-03-22,2012-03, 2012-Q1 ,2012.0,5200000,2010-07-01
4216,Tradeshift,Software,USA,CA,SF Bay Area,San Francisco,venture,B,2011-10-25,2011-10, 2011-Q4 ,2011.0,17000000,2009-07-01
4217,Tradeshift,Software,USA,CA,SF Bay Area,San Francisco,venture,C,2014-02-25,2014-02, 2014-Q1 ,2014.0,75000000,2009-07-01
4218,Traitify,Personalization,USA,MD,Baltimore,Baltimore,seed/angel,0,2011-07-22,2011-07, 2011-Q3 ,2011.0,100000,2011-04-20
4219,Traitify,Personalization,USA,MD,Baltimore,Baltimore,venture,A,2014-07-08,2014-07, 2014-Q3 ,2014.0,4000000,2011-04-20
4220,Transpera,Mobile,USA,CA,SF Bay Area,San Francisco,venture,B,2008-11-12,2008-11, 2008-Q4 ,2008.0,8250000,2007-01-01
4221,Transpera,Mobile,USA,CA,SF Bay Area,San Francisco,venture,C,2010-06-02,2010-06, 2010-Q2 ,2010.0,9000000,2007-01-01
4222,Transphorm,Clean Technology,USA,CA,Santa Barbara,Goleta,venture,C,2011-02-23,2011-02, 2011-Q1 ,2011.0,20000000,2007-01-01
4223,Transphorm,Clean Technology,USA,CA,Santa Barbara,Goleta,venture,D,2011-06-23,2011-06, 2011-Q2 ,2011.0,25000000,2007-01-01
4224,Transphorm,Clean Technology,USA,CA,Santa Barbara,Goleta,venture,E,2012-10-01,2012-10, 2012-Q4 ,2012.0,35000000,2007-01-01
4225,TravelMuse,Travel,USA,NY,New York City,New York,seed/angel,0,2007-05-01,2007-05, 2007-Q2 ,2007.0,3000000,2007-04-16
4226,TravelMuse,Travel,USA,NY,New York City,New York,venture,A,2008-11-15,2008-11, 2008-Q4 ,2008.0,600000,2007-04-16
4227,TravelMuse,Travel,USA,NY,New York City,New York,venture,B,2009-06-01,2009-06, 2009-Q2 ,2009.0,2000000,2007-04-16
4228,TravelTriangle,E-Commerce,USA,VA,"Washington, D.C.",Charlottesville,seed/angel,0,2012-06-01,2012-06, 2012-Q2 ,2012.0,200000,2011-07-01
4229,TravelTriangle,E-Commerce,USA,VA,"Washington, D.C.",Charlottesville,venture,A,2014-07-17,2014-07, 2014-Q3 ,2014.0,1700000,2011-07-01
4230,Travora Networks,Travel,USA,NY,New York City,New York,seed/angel,0,2003-01-01,2003-01, 2003-Q1 ,2003.0,500000,2011-01-01
4231,Travora Networks,Travel,USA,NY,New York City,New York,venture,A,2008-04-20,2008-04, 2008-Q2 ,2008.0,15000000,2011-01-01
4232,Travora Networks,Travel,USA,NY,New York City,New York,venture,C,2010-10-19,2010-10, 2010-Q4 ,2010.0,15000000,2011-01-01
4233,Traxo,Tracking,USA,TX,Dallas,Dallas,seed/angel,0,2012-06-01,2012-06, 2012-Q2 ,2012.0,1500000,2008-04-01
4234,Traxo,Tracking,USA,TX,Dallas,Dallas,venture,A,2013-09-25,2013-09, 2013-Q3 ,2013.0,4240000,2008-04-01
4235,TreSensa,Games,USA,NY,New York City,New York,seed/angel,0,2012-07-23,2012-07, 2012-Q3 ,2012.0,1000000,2011-01-01
4236,TreSensa,Games,USA,NY,New York City,New York,venture,A,2014-03-04,2014-03, 2014-Q1 ,2014.0,2000000,2011-01-01
4237,Treasure Data,Big Data,USA,CA,SF Bay Area,Mountain View,seed/angel,0,2012-09-28,2012-09, 2012-Q3 ,2012.0,1500000,2011-12-22
4238,Treasure Data,Big Data,USA,CA,SF Bay Area,Mountain View,venture,A,2013-07-22,2013-07, 2013-Q3 ,2013.0,5300000,2011-12-22
4239,Treehouse,iOS,USA,OR,"Portland, Oregon",Portland,seed/angel,0,2011-10-17,2011-10, 2011-Q4 ,2011.0,600000,2011-11-01
4240,Treehouse,iOS,USA,OR,"Portland, Oregon",Portland,venture,A,2012-04-18,2012-04, 2012-Q2 ,2012.0,4750000,2011-11-01
4241,Treehouse,iOS,USA,OR,"Portland, Oregon",Portland,venture,B,2013-04-10,2013-04, 2013-Q2 ,2013.0,7000000,2011-11-01
4242,Trefis,Analytics,USA,MA,Boston,Boston,seed/angel,0,2008-11-01,2008-11, 2008-Q4 ,2008.0,530000,2007-01-01
4243,Trefis,Analytics,USA,MA,Boston,Boston,venture,A,2010-06-02,2010-06, 2010-Q2 ,2010.0,1600000,2007-01-01
4244,Tribogenics,Material Science,USA,CA,Los Angeles,Los Angeles,seed/angel,0,2011-12-05,2011-12, 2011-Q4 ,2011.0,2500000,2011-07-01
4245,Tribogenics,Material Science,USA,CA,Los Angeles,Los Angeles,venture,A,2012-09-24,2012-09, 2012-Q3 ,2012.0,6200000,2011-07-01
4246,Trifacta,Software,USA,CA,SF Bay Area,San Francisco,venture,A,2012-10-04,2012-10, 2012-Q4 ,2012.0,4300000,2012-01-01
4247,Trifacta,Software,USA,CA,SF Bay Area,San Francisco,venture,B,2013-12-05,2013-12, 2013-Q4 ,2013.0,12000000,2012-01-01
4248,Trifacta,Software,USA,CA,SF Bay Area,San Francisco,venture,C,2014-05-29,2014-05, 2014-Q2 ,2014.0,25000000,2012-01-01
4249,TripleLift,Advertising,USA,NY,New York City,New York,seed/angel,0,2012-01-11,2012-01, 2012-Q1 ,2012.0,25000,2012-01-09
4250,TripleLift,Advertising,USA,NY,New York City,New York,venture,A,2014-03-05,2014-03, 2014-Q1 ,2014.0,4000000,2012-01-09
4251,Triptrotting,Travel,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2010-12-30,2010-12, 2010-Q4 ,2010.0,300000,2011-01-01
4252,Triptrotting,Travel,USA,CA,SF Bay Area,San Francisco,venture,A,2012-03-08,2012-03, 2012-Q1 ,2012.0,1000000,2011-01-01
4253,Trov,Insurance,USA,CA,SF Bay Area,San Ramon,venture,A,2012-07-09,2012-07, 2012-Q3 ,2012.0,3000000,2012-01-01
4254,Trov,Insurance,USA,CA,SF Bay Area,San Ramon,venture,B,2014-08-01,2014-08, 2014-Q3 ,2014.0,6500000,2012-01-01
4255,TrueAbility,Enterprise Software,USA,TX,San Antonio,San Antonio,seed/angel,0,2012-11-01,2012-11, 2012-Q4 ,2012.0,750000,2012-01-01
4256,TrueAbility,Enterprise Software,USA,TX,San Antonio,San Antonio,venture,A,2013-07-29,2013-07, 2013-Q3 ,2013.0,2000000,2012-01-01
4257,Trumaker,E-Commerce,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2012-10-15,2012-10, 2012-Q4 ,2012.0,1900000,2012-01-01
4258,Trumaker,E-Commerce,USA,CA,SF Bay Area,San Francisco,venture,A,2014-02-19,2014-02, 2014-Q1 ,2014.0,6500000,2012-01-01
4259,Trusper,Curated Web,USA,CA,SF Bay Area,San Jose,venture,A,2013-11-26,2013-11, 2013-Q4 ,2013.0,6170000,2013-04-01
4260,Trusper,Curated Web,USA,CA,SF Bay Area,San Jose,venture,B,2014-09-16,2014-09, 2014-Q3 ,2014.0,16020107,2013-04-01
4261,Truveris,SaaS,USA,NY,New York City,New York,venture,A,2011-02-01,2011-02, 2011-Q1 ,2011.0,3800000,2009-01-01
4262,Truveris,SaaS,USA,NY,New York City,New York,venture,B,2012-02-23,2012-02, 2012-Q1 ,2012.0,10000000,2009-01-01
4263,Truveris,SaaS,USA,NY,New York City,New York,venture,C,2014-06-26,2014-06, 2014-Q2 ,2014.0,12750000,2009-01-01
4264,Tubular Labs,Analytics,USA,CA,SF Bay Area,Mountain View,seed/angel,0,2012-10-03,2012-10, 2012-Q4 ,2012.0,650000,2012-04-17
4265,Tubular Labs,Analytics,USA,CA,SF Bay Area,Mountain View,venture,A,2012-12-20,2012-12, 2012-Q4 ,2012.0,2500000,2012-04-17
4266,Tubular Labs,Analytics,USA,CA,SF Bay Area,Mountain View,venture,B,2014-04-22,2014-04, 2014-Q2 ,2014.0,11000000,2012-04-17
4267,Tumblr,Opinions,USA,NY,New York City,New York,venture,A,2007-10-31,2007-10, 2007-Q4 ,2007.0,750000,2007-02-01
4268,Tumblr,Opinions,USA,NY,New York City,New York,venture,B,2008-12-11,2008-12, 2008-Q4 ,2008.0,4500000,2007-02-01
4269,Tumblr,Opinions,USA,NY,New York City,New York,venture,C,2010-04-20,2010-04, 2010-Q2 ,2010.0,5000000,2007-02-01
4270,Tumblr,Opinions,USA,NY,New York City,New York,venture,D,2010-11-19,2010-11, 2010-Q4 ,2010.0,30000000,2007-02-01
4271,Tumblr,Opinions,USA,NY,New York City,New York,venture,E,2011-09-26,2011-09, 2011-Q3 ,2011.0,85000000,2007-02-01
4272,TuneUp,Software,USA,CA,SF Bay Area,San Francisco,venture,A,2009-05-19,2009-05, 2009-Q2 ,2009.0,3000000,2007-08-01
4273,TuneUp,Software,USA,CA,SF Bay Area,San Francisco,venture,C,2010-09-10,2010-09, 2010-Q3 ,2010.0,6300000,2007-08-01
4274,TuneWiki,Games,USA,CA,Los Angeles,Santa Monica,venture,A,2008-04-01,2008-04, 2008-Q2 ,2008.0,3000000,2007-12-01
4275,TuneWiki,Games,USA,CA,Los Angeles,Santa Monica,venture,B,2010-02-08,2010-02, 2010-Q1 ,2010.0,7000000,2007-12-01
4276,Tute Genomics,Health Care,USA,UT,Salt Lake City,Provo,seed/angel,0,2014-01-01,2014-01, 2014-Q1 ,2014.0,1500000,2012-07-13
4277,Tute Genomics,Health Care,USA,UT,Salt Lake City,Provo,venture,A,2014-11-01,2014-11, 2014-Q4 ,2014.0,2250000,2012-07-13
4278,Twice,Online Shopping,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2011-05-31,2011-05, 2011-Q2 ,2011.0,600000,2012-01-01
4279,Twice,Online Shopping,USA,CA,SF Bay Area,San Francisco,venture,A,2012-08-21,2012-08, 2012-Q3 ,2012.0,4000000,2012-01-01
4280,Twice,Online Shopping,USA,CA,SF Bay Area,San Francisco,venture,B,2014-01-16,2014-01, 2014-Q1 ,2014.0,18500000,2012-01-01
4281,Twilio,Enterprise Software,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2009-01-01,2009-01, 2009-Q1 ,2009.0,1000000,2007-01-01
4282,Twilio,Enterprise Software,USA,CA,SF Bay Area,San Francisco,venture,A,2009-12-30,2009-12, 2009-Q4 ,2009.0,3700000,2007-01-01
4283,Twilio,Enterprise Software,USA,CA,SF Bay Area,San Francisco,venture,B,2010-11-09,2010-11, 2010-Q4 ,2010.0,12000000,2007-01-01
4284,Twilio,Enterprise Software,USA,CA,SF Bay Area,San Francisco,venture,C,2011-12-07,2011-12, 2011-Q4 ,2011.0,17000000,2007-01-01
4285,Twilio,Enterprise Software,USA,CA,SF Bay Area,San Francisco,venture,D,2013-06-07,2013-06, 2013-Q2 ,2013.0,70000000,2007-01-01
