,company_name,company_market,company_country_code,company_state_code,company_region,company_city,funding_round_type,funding_round_code,funded_at,funded_month, funded_quarter ,funded_year,raised_amount_usd,founded_at
0,1000memories,Curated Web,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2010-01-01,2010-01, 2010-Q1 ,2010.0,15000,2010-07-01
1,1000memories,Curated Web,USA,CA,SF Bay Area,San Francisco,venture,A,2011-02-16,2011-02, 2011-Q1 ,2011.0,2520000,2010-07-01
2,1366 Technologies,Manufacturing,USA,MA,Boston,Bedford,venture,A,2008-03-27,2008-03, 2008-Q1 ,2008.0,12400000,2007-01-01
3,1366 Technologies,Manufacturing,USA,MA,Boston,Bedford,venture,B,2010-12-16,2010-12, 2010-Q4 ,2010.0,6000000,2007-01-01
4,1366 Technologies,Manufacturing,USA,MA,Boston,Bedford,venture,C,2013-12-12,2013-12, 2013-Q4 ,2013.0,2500000,2007-01-01
5,140 Proof,Advertising,USA,CA,SF Bay Area,San Francisco,venture,A,2009-07-01,2009-07, 2009-Q3 ,2009.0,3000000,2010-01-11
6,140 Proof,Advertising,USA,CA,SF Bay Area,San Francisco,venture,B,2011-04-28,2011-04, 2011-Q2 ,2011.0,2500000,2010-01-11
7,33Across,Advertising,USA,NY,New York City,New York,seed/angel,0,2009-03-13,2009-03, 2009-Q1 ,2009.0,750000,2007-09-01
8,33Across,Advertising,USA,NY,New York City,New York,venture,A,2010-04-22,2010-04, 2010-Q2 ,2010.0,1284560,2007-09-01
9,33Across,Advertising,USA,NY,New York City,New York,venture,B,2011-01-05,2011-01, 2011-Q1 ,2011.0,9000000,2007-09-01
10,33Across,Advertising,USA,NY,New York City,New York,venture,C,2012-07-19,2012-07, 2012-Q3 ,2012.0,13100000,2007-09-01
11,3D Robotics,Drones,USA,CA,San Diego,San Diego,venture,A,2012-11-05,2012-11, 2012-Q4 ,2012.0,5000000,2009-01-01
12,3D Robotics,Drones,USA,CA,San Diego,San Diego,venture,B,2013-09-12,2013-09, 2013-Q3 ,2013.0,30000000,2009-01-01
13,42Floors,Commercial Real Estate,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2011-12-01,2011-12, 2011-Q4 ,2011.0,400000,2011-01-01
14,42Floors,Commercial Real Estate,USA,CA,SF Bay Area,San Francisco,venture,A,2012-11-16,2012-11, 2012-Q4 ,2012.0,5000000,2011-01-01
15,42Floors,Commercial Real Estate,USA,CA,SF Bay Area,San Francisco,venture,B,2013-01-31,2013-01, 2013-Q1 ,2013.0,12000000,2011-01-01
16,500Friends,E-Commerce,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2009-12-15,2009-12, 2009-Q4 ,2009.0,1400000,2010-01-01
17,500Friends,E-Commerce,USA,CA,SF Bay Area,San Francisco,venture,A,2012-03-14,2012-03, 2012-Q1 ,2012.0,4500000,2010-01-01
18,500Friends,E-Commerce,USA,CA,SF Bay Area,San Francisco,venture,B,2013-03-12,2013-03, 2013-Q1 ,2013.0,5000000,2010-01-01
19,5min Media,Video,USA,NY,New York City,New York,seed/angel,0,2007-04-01,2007-04, 2007-Q2 ,2007.0,300000,2007-01-01
20,5min Media,Video,USA,NY,New York City,New York,venture,A,2007-11-01,2007-11, 2007-Q4 ,2007.0,5000000,2007-01-01
21,5min Media,Video,USA,NY,New York City,New York,venture,B,2009-07-23,2009-07, 2009-Q3 ,2009.0,7500000,2007-01-01
22,6fusion,Enterprise Software,USA,NC,Raleigh,Raleigh,venture,A,2010-08-23,2010-08, 2010-Q3 ,2010.0,3000000,2008-01-01
23,6fusion,Enterprise Software,USA,NC,Raleigh,Raleigh,venture,B,2011-08-22,2011-08, 2011-Q3 ,2011.0,7000000,2008-01-01
24,818 Sports & Entertainment,Digital Entertainment,USA,NY,New York City,New York,seed/angel,0,2013-03-15,2013-03, 2013-Q1 ,2013.0,2000000,2012-01-01
25,818 Sports & Entertainment,Digital Entertainment,USA,NY,New York City,New York,venture,A,2013-05-30,2013-05, 2013-Q2 ,2013.0,25000000,2012-01-01
26,8thBridge,E-Commerce,USA,MN,Minneapolis,Minneapolis,seed/angel,0,2009-11-16,2009-11, 2009-Q4 ,2009.0,590000,2008-11-01
27,8thBridge,E-Commerce,USA,MN,Minneapolis,Minneapolis,venture,A,2010-01-25,2010-01, 2010-Q1 ,2010.0,5000000,2008-11-01
28,8thBridge,E-Commerce,USA,MN,Minneapolis,Minneapolis,venture,B,2011-03-21,2011-03, 2011-Q1 ,2011.0,10000000,2008-11-01
29,908 Devices,Manufacturing,USA,MA,Boston,Boston,venture,A,2012-09-05,2012-09, 2012-Q3 ,2012.0,8100000,2012-01-01
30,908 Devices,Manufacturing,USA,MA,Boston,Boston,venture,B,2013-08-27,2013-08, 2013-Q3 ,2013.0,7000000,2012-01-01
31,ABSMaterials,Clean Technology,USA,OH,Akron - Canton,Wooster,venture,A,2010-06-24,2010-06, 2010-Q2 ,2010.0,250000,2008-01-01
32,ABSMaterials,Clean Technology,USA,OH,Akron - Canton,Wooster,venture,B,2013-11-24,2013-11, 2013-Q4 ,2013.0,4000000,2008-01-01
33,ADARA,Advertising,USA,CA,SF Bay Area,Mountain View,venture,A,2011-04-12,2011-04, 2011-Q2 ,2011.0,11715160,2009-01-01
34,ADARA,Advertising,USA,CA,SF Bay Area,Mountain View,venture,B,2013-02-21,2013-02, 2013-Q1 ,2013.0,20000000,2009-01-01
35,ADmantX,Creative,USA,CT,Hartford,West Hartford,venture,A,2011-06-08,2011-06, 2011-Q2 ,2011.0,2800000,2010-11-17
36,ADmantX,Creative,USA,CT,Hartford,West Hartford,venture,B,2013-01-28,2013-01, 2013-Q1 ,2013.0,1344400,2010-11-17
37,AHAlife.com,E-Commerce,USA,NY,New York City,New York,seed/angel,0,2013-01-31,2013-01, 2013-Q1 ,2013.0,3649079,2009-11-01
38,AHAlife.com,E-Commerce,USA,NY,New York City,New York,venture,A,2011-07-27,2011-07, 2011-Q3 ,2011.0,6000000,2009-11-01
39,AHAlife.com,E-Commerce,USA,NY,New York City,New York,venture,B,2012-04-26,2012-04, 2012-Q2 ,2012.0,10100000,2009-11-01
40,Aardvark,Search,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2007-01-01,2007-01, 2007-Q1 ,2007.0,750000,2007-07-01
41,Aardvark,Search,USA,CA,SF Bay Area,San Francisco,venture,A,2008-10-01,2008-10, 2008-Q4 ,2008.0,5250000,2007-07-01
42,Abe's Market,E-Commerce,USA,IL,Chicago,Chicago,venture,A,2011-02-10,2011-02, 2011-Q1 ,2011.0,3400000,2009-09-01
43,Abe's Market,E-Commerce,USA,IL,Chicago,Chicago,venture,B,2013-01-17,2013-01, 2013-Q1 ,2013.0,5000000,2009-09-01
44,AbilTo,Health Care,USA,NY,New York City,New York,venture,A,2013-05-14,2013-05, 2013-Q2 ,2013.0,3000000,2008-01-01
45,AbilTo,Health Care,USA,NY,New York City,New York,venture,B,2014-03-18,2014-03, 2014-Q1 ,2014.0,6000000,2008-01-01
46,Ablative Solutions,Biotechnology,USA,MI,Kalamazoo,Kalamazoo,seed/angel,0,2012-01-04,2012-01, 2012-Q1 ,2012.0,5000,2011-01-01
47,Ablative Solutions,Biotechnology,USA,MI,Kalamazoo,Kalamazoo,venture,A,2012-06-19,2012-06, 2012-Q2 ,2012.0,5300000,2011-01-01
48,Ablative Solutions,Biotechnology,USA,MI,Kalamazoo,Kalamazoo,venture,B,2014-02-04,2014-02, 2014-Q1 ,2014.0,9575077,2011-01-01
49,AboutOne,Curated Web,USA,PA,Philadelphia,Paoli,seed/angel,0,2014-06-18,2014-06, 2014-Q2 ,2014.0,45400,2010-06-01
50,AboutOne,Curated Web,USA,PA,Philadelphia,Paoli,venture,A,2011-12-01,2011-12, 2011-Q4 ,2011.0,1800000,2010-06-01
51,Academia.edu,Social Media,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2007-11-02,2007-11, 2007-Q4 ,2007.0,600000,2008-09-01
52,Academia.edu,Social Media,USA,CA,SF Bay Area,San Francisco,venture,A,2011-11-30,2011-11, 2011-Q4 ,2011.0,4500000,2008-09-01
53,Academia.edu,Social Media,USA,CA,SF Bay Area,San Francisco,venture,B,2013-09-26,2013-09, 2013-Q3 ,2013.0,11100000,2008-09-01
54,Acceptd,Software,USA,OH,"Columbus, Ohio",Dublin,seed/angel,0,2011-06-01,2011-06, 2011-Q2 ,2011.0,20000,2011-01-01
55,Acceptd,Software,USA,OH,"Columbus, Ohio",Dublin,venture,A,2013-06-13,2013-06, 2013-Q2 ,2013.0,1000000,2011-01-01
56,Accertify,Security,USA,IL,Chicago,Itasca,venture,A,2008-06-03,2008-06, 2008-Q2 ,2008.0,4000000,2007-03-01
57,Accertify,Security,USA,IL,Chicago,Itasca,venture,B,2009-06-06,2009-06, 2009-Q2 ,2009.0,2431124,2007-03-01
58,Accompani,3D,USA,CA,SF Bay Area,Los Altos,venture,A,2014-06-16,2014-06, 2014-Q2 ,2014.0,5600000,2013-01-01
59,Accompani,3D,USA,CA,SF Bay Area,Los Altos,venture,B,2014-11-19,2014-11, 2014-Q4 ,2014.0,15000000,2013-01-01
60,Ace Metrix,Advertising,USA,CA,Los Angeles,El Segundo,venture,A,2008-08-01,2008-08, 2008-Q3 ,2008.0,3000000,2007-01-01
61,Ace Metrix,Advertising,USA,CA,Los Angeles,El Segundo,venture,B,2009-12-16,2009-12, 2009-Q4 ,2009.0,6000000,2007-01-01
62,Ace Metrix,Advertising,USA,CA,Los Angeles,El Segundo,venture,C,2012-05-29,2012-05, 2012-Q2 ,2012.0,8000000,2007-01-01
63,Acetylon Pharmaceuticals,Biotechnology,USA,MA,Boston,Boston,venture,A,2009-08-01,2009-08, 2009-Q3 ,2009.0,7250000,2008-01-01
64,Acetylon Pharmaceuticals,Biotechnology,USA,MA,Boston,Boston,venture,B,2011-02-22,2011-02, 2011-Q1 ,2011.0,12400000,2008-01-01
65,AchieveIt Online,Enterprise Software,USA,GA,Atlanta,Atlanta,seed/angel,0,2013-09-24,2013-09, 2013-Q3 ,2013.0,1500000,2010-01-01
66,AchieveIt Online,Enterprise Software,USA,GA,Atlanta,Atlanta,venture,A,2012-12-28,2012-12, 2012-Q4 ,2012.0,1500000,2010-01-01
67,Acorns,Apps,USA,CA,Anaheim,Newport Beach,seed/angel,0,2012-06-01,2012-06, 2012-Q2 ,2012.0,300000,2012-02-29
68,Acorns,Apps,USA,CA,Anaheim,Newport Beach,venture,A,2013-10-01,2013-10, 2013-Q4 ,2013.0,2500000,2012-02-29
69,Acorns,Apps,USA,CA,Anaheim,Newport Beach,venture,B,2014-03-14,2014-03, 2014-Q1 ,2014.0,6160000,2012-02-29
70,Acquia,Enterprise Software,USA,MA,Boston,Burlington,venture,A,2007-12-01,2007-12, 2007-Q4 ,2007.0,7000000,2007-05-01
71,Acquia,Enterprise Software,USA,MA,Boston,Burlington,venture,B,2009-07-17,2009-07, 2009-Q3 ,2009.0,8000000,2007-05-01
72,Acquia,Enterprise Software,USA,MA,Boston,Burlington,venture,C,2010-11-01,2010-11, 2010-Q4 ,2010.0,8500000,2007-05-01
73,Acquia,Enterprise Software,USA,MA,Boston,Burlington,venture,D,2011-07-20,2011-07, 2011-Q3 ,2011.0,15000000,2007-05-01
74,Acquia,Enterprise Software,USA,MA,Boston,Burlington,venture,E,2012-11-30,2012-11, 2012-Q4 ,2012.0,30000000,2007-05-01
75,Acquia,Enterprise Software,USA,MA,Boston,Burlington,venture,F,2014-05-27,2014-05, 2014-Q2 ,2014.0,50000000,2007-05-01
76,Act-On Software,Marketing Automation,USA,OR,"Portland, Oregon",Beaverton,venture,B,2010-11-15,2010-11, 2010-Q4 ,2010.0,4000000,2008-01-01
77,Act-On Software,Marketing Automation,USA,OR,"Portland, Oregon",Beaverton,venture,C,2011-06-01,2011-06, 2011-Q2 ,2011.0,10000000,2008-01-01
78,Act-On Software,Marketing Automation,USA,OR,"Portland, Oregon",Beaverton,venture,D,2012-09-05,2012-09, 2012-Q3 ,2012.0,16000000,2008-01-01
79,Actifio,Enterprise Software,USA,MA,Boston,Waltham,venture,A,2010-07-21,2010-07, 2010-Q3 ,2010.0,8000000,2009-07-01
80,Actifio,Enterprise Software,USA,MA,Boston,Waltham,venture,B,2010-09-22,2010-09, 2010-Q3 ,2010.0,16000000,2009-07-01
81,Actifio,Enterprise Software,USA,MA,Boston,Waltham,venture,C,2011-12-05,2011-12, 2011-Q4 ,2011.0,33500000,2009-07-01
82,Actifio,Enterprise Software,USA,MA,Boston,Waltham,venture,D,2013-03-06,2013-03, 2013-Q1 ,2013.0,50000000,2009-07-01
83,Actifio,Enterprise Software,USA,MA,Boston,Waltham,venture,E,2014-03-23,2014-03, 2014-Q1 ,2014.0,100000000,2009-07-01
84,Activate Networks,Health Care,USA,MA,Boston,Newton,venture,A,2010-08-09,2010-08, 2010-Q3 ,2010.0,5000000,2010-08-09
85,Activate Networks,Health Care,USA,MA,Boston,Newton,venture,B,2012-11-13,2012-11, 2012-Q4 ,2012.0,10000000,2010-08-09
86,AdKeeper,Advertising,USA,NY,New York City,New York,venture,A,2010-09-15,2010-09, 2010-Q3 ,2010.0,8000000,2010-01-01
87,AdKeeper,Advertising,USA,NY,New York City,New York,venture,B,2011-01-03,2011-01, 2011-Q1 ,2011.0,35000000,2010-01-01
88,AdRoll,Advertising,USA,CA,SF Bay Area,San Francisco,venture,A,2008-09-16,2008-09, 2008-Q3 ,2008.0,4000000,2007-03-01
89,AdRoll,Advertising,USA,CA,SF Bay Area,San Francisco,venture,B,2012-07-11,2012-07, 2012-Q3 ,2012.0,15000000,2007-03-01
90,AdRoll,Advertising,USA,CA,SF Bay Area,San Francisco,venture,C,2014-04-18,2014-04, 2014-Q2 ,2014.0,70000000,2007-03-01
91,AdStage,Software,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2013-06-21,2013-06, 2013-Q2 ,2013.0,100000,2012-05-01
92,AdStage,Software,USA,CA,SF Bay Area,San Francisco,venture,A,2014-08-13,2014-08, 2014-Q3 ,2014.0,6250000,2012-05-01
93,Adama Materials,Nanotechnology,USA,HI,Honolulu,Honolulu,seed/angel,0,2013-08-20,2013-08, 2013-Q3 ,2013.0,1760445,2008-01-01
94,Adama Materials,Nanotechnology,USA,HI,Honolulu,Honolulu,venture,A,2010-09-29,2010-09, 2010-Q3 ,2010.0,4750000,2008-01-01
95,Adapteva,Mobile,USA,MA,Boston,Lexington,venture,A,2009-10-27,2009-10, 2009-Q4 ,2009.0,1500000,2008-03-15
96,Adapteva,Mobile,USA,MA,Boston,Lexington,venture,B,2014-01-16,2014-01, 2014-Q1 ,2014.0,3600000,2008-03-15
97,Adaptive Biotechnologies,Bio-Pharm,USA,WA,Seattle,Seattle,venture,C,2014-04-07,2014-04, 2014-Q2 ,2014.0,5000000,2009-01-01
98,Adaptive Biotechnologies,Bio-Pharm,USA,WA,Seattle,Seattle,venture,D,2014-04-15,2014-04, 2014-Q2 ,2014.0,104999480,2009-01-01
99,Adaptive TCR,Biotechnology,USA,WA,Seattle,Seattle,venture,A,2010-03-26,2010-03, 2010-Q1 ,2010.0,4550000,2009-01-01
100,Adaptive TCR,Biotechnology,USA,WA,Seattle,Seattle,venture,B,2011-06-10,2011-06, 2011-Q2 ,2011.0,5800000,2009-01-01
101,AdaptiveBlue,Semantic Web,USA,NY,New York City,New York,venture,A,2007-02-15,2007-02, 2007-Q1 ,2007.0,1500000,2007-01-01
102,AdaptiveBlue,Semantic Web,USA,NY,New York City,New York,venture,B,2008-10-10,2008-10, 2008-Q4 ,2008.0,4520000,2007-01-01
103,Adaptivity,Enterprise Software,USA,NC,Charlotte,Charlotte,venture,A,2010-10-05,2010-10, 2010-Q4 ,2010.0,7200000,2007-01-01
104,Adaptivity,Enterprise Software,USA,NC,Charlotte,Charlotte,venture,B,2012-03-01,2012-03, 2012-Q1 ,2012.0,3000000,2007-01-01
105,Adaptly,Advertising,USA,NY,New York City,New York,seed/angel,0,2010-10-01,2010-10, 2010-Q4 ,2010.0,700000,2010-04-14
106,Adaptly,Advertising,USA,NY,New York City,New York,venture,A,2011-04-18,2011-04, 2011-Q2 ,2011.0,2000000,2010-04-14
107,Adaptly,Advertising,USA,NY,New York City,New York,venture,B,2012-05-09,2012-05, 2012-Q2 ,2012.0,10500000,2010-04-14
108,Adcade,Advertising,USA,NY,New York City,New York,seed/angel,0,2012-11-01,2012-11, 2012-Q4 ,2012.0,1500000,2011-12-01
109,Adcade,Advertising,USA,NY,New York City,New York,venture,A,2013-11-01,2013-11, 2013-Q4 ,2013.0,5000000,2011-12-01
110,Addepar,SaaS,USA,CA,SF Bay Area,Mountain View,venture,A,2011-06-15,2011-06, 2011-Q2 ,2011.0,15839694,2009-01-01
111,Addepar,SaaS,USA,CA,SF Bay Area,Mountain View,venture,B,2014-05-12,2014-05, 2014-Q2 ,2014.0,50000000,2009-01-01
112,Addvocate,Enterprise Software,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2013-05-15,2013-05, 2013-Q2 ,2013.0,339000,2012-05-01
113,Addvocate,Enterprise Software,USA,CA,SF Bay Area,San Francisco,venture,A,2013-07-24,2013-07, 2013-Q3 ,2013.0,2390000,2012-05-01
114,Adelphic Mobile,Mobile,USA,MA,Boston,Waltham,seed/angel,0,2012-03-13,2012-03, 2012-Q1 ,2012.0,2000000,2010-01-01
115,Adelphic Mobile,Mobile,USA,MA,Boston,Waltham,venture,A,2012-12-04,2012-12, 2012-Q4 ,2012.0,10000000,2010-01-01
116,AdhereTech,Medical Devices,USA,NY,New York City,New York,seed/angel,0,2011-07-19,2011-07, 2011-Q3 ,2011.0,600000,2011-10-01
117,AdhereTech,Medical Devices,USA,NY,New York City,New York,venture,A,2014-07-09,2014-07, 2014-Q3 ,2014.0,1750000,2011-10-01
118,Adimab,Biotechnology,USA,NH,"Manchester, New Hampshire",Lebanon,venture,A,2007-07-01,2007-07, 2007-Q3 ,2007.0,400000,2007-05-01
119,Adimab,Biotechnology,USA,NH,"Manchester, New Hampshire",Lebanon,venture,B,2008-04-01,2008-04, 2008-Q2 ,2008.0,3180000,2007-05-01
120,Adimab,Biotechnology,USA,NH,"Manchester, New Hampshire",Lebanon,venture,C,2008-11-20,2008-11, 2008-Q4 ,2008.0,4000000,2007-05-01
121,Adimab,Biotechnology,USA,NH,"Manchester, New Hampshire",Lebanon,venture,D,2010-01-22,2010-01, 2010-Q1 ,2010.0,8200000,2007-05-01
122,Adly,Social Media,USA,CA,Los Angeles,Beverly Hills,seed/angel,0,2009-10-20,2009-10, 2009-Q4 ,2009.0,500000,2009-01-01
123,Adly,Social Media,USA,CA,Los Angeles,Beverly Hills,venture,B,2010-05-11,2010-05, 2010-Q2 ,2010.0,5000000,2009-01-01
124,Admeld,Auctions,USA,NY,New York City,New York,venture,A,2008-11-10,2008-11, 2008-Q4 ,2008.0,7000000,2007-10-01
125,Admeld,Auctions,USA,NY,New York City,New York,venture,B,2009-06-24,2009-06, 2009-Q2 ,2009.0,8000000,2007-10-01
126,Admeld,Auctions,USA,NY,New York City,New York,venture,C,2010-08-01,2010-08, 2010-Q3 ,2010.0,15000000,2007-10-01
127,Adore Me,Fashion,USA,NY,New York City,New York,seed/angel,0,2011-11-01,2011-11, 2011-Q4 ,2011.0,500000,2011-05-01
128,Adore Me,Fashion,USA,NY,New York City,New York,venture,A,2012-04-01,2012-04, 2012-Q2 ,2012.0,2500000,2011-05-01
129,Adore Me,Fashion,USA,NY,New York City,New York,venture,B,2013-07-09,2013-07, 2013-Q3 ,2013.0,8500000,2011-05-01
130,Adura Technologies,Clean Energy,USA,CA,SF Bay Area,San Francisco,venture,A,2008-10-16,2008-10, 2008-Q4 ,2008.0,5000000,2008-01-01
131,Adura Technologies,Clean Energy,USA,CA,SF Bay Area,San Francisco,venture,B,2010-02-22,2010-02, 2010-Q1 ,2010.0,12000000,2008-01-01
132,Advanced Catheter Therapies,Biotechnology,USA,TN,Chattanooga,Chattanooga,seed/angel,0,2013-06-01,2013-06, 2013-Q2 ,2013.0,450000,2008-01-01
133,Advanced Catheter Therapies,Biotechnology,USA,TN,Chattanooga,Chattanooga,venture,A,2011-09-29,2011-09, 2011-Q3 ,2011.0,3000000,2008-01-01
134,Advanced Catheter Therapies,Biotechnology,USA,TN,Chattanooga,Chattanooga,venture,B,2014-08-20,2014-08, 2014-Q3 ,2014.0,3400000,2008-01-01
135,Advanced Cell Diagnostics,Biotechnology,USA,CA,SF Bay Area,Hayward,venture,A,2009-09-03,2009-09, 2009-Q3 ,2009.0,5400000,2007-01-01
136,Advanced Cell Diagnostics,Biotechnology,USA,CA,SF Bay Area,Hayward,venture,B,2012-11-01,2012-11, 2012-Q4 ,2012.0,12000000,2007-01-01
137,Aereo,Curated Web,USA,NY,New York City,New York,seed/angel,0,2011-04-15,2011-04, 2011-Q2 ,2011.0,4500000,2012-02-01
138,Aereo,Curated Web,USA,NY,New York City,New York,venture,A,2012-02-14,2012-02, 2012-Q1 ,2012.0,20500000,2012-02-01
139,Aereo,Curated Web,USA,NY,New York City,New York,venture,B,2013-01-08,2013-01, 2013-Q1 ,2013.0,38000000,2012-02-01
140,Aereo,Curated Web,USA,NY,New York City,New York,venture,C,2014-01-07,2014-01, 2014-Q1 ,2014.0,34000000,2012-02-01
141,Aerospike,Real Time,USA,CA,SF Bay Area,Mountain View,venture,A,2011-03-30,2011-03, 2011-Q1 ,2011.0,2000000,2009-02-25
142,Aerospike,Real Time,USA,CA,SF Bay Area,Mountain View,venture,C,2014-06-24,2014-06, 2014-Q2 ,2014.0,20000000,2009-02-25
143,Affectiva,Analytics,USA,MA,Boston,Waltham,venture,B,2011-07-19,2011-07, 2011-Q3 ,2011.0,5700000,2009-01-01
144,Affectiva,Analytics,USA,MA,Boston,Waltham,venture,C,2012-08-07,2012-08, 2012-Q3 ,2012.0,12000000,2009-01-01
145,Affirmed Networks,Mobile,USA,MA,Boston,Acton,venture,A,2010-06-18,2010-06, 2010-Q2 ,2010.0,10890000,2010-01-01
146,Affirmed Networks,Mobile,USA,MA,Boston,Acton,venture,B,2012-11-12,2012-11, 2012-Q4 ,2012.0,52000000,2010-01-01
147,Affirmed Networks,Mobile,USA,MA,Boston,Acton,venture,C,2013-06-05,2013-06, 2013-Q2 ,2013.0,51000000,2010-01-01
148,Aframe,Cloud Data Services,USA,MA,Boston,Burlington,seed/angel,0,2010-11-01,2010-11, 2010-Q4 ,2010.0,2000000,2009-03-01
149,Aframe,Cloud Data Services,USA,MA,Boston,Burlington,venture,A,2012-04-03,2012-04, 2012-Q2 ,2012.0,7000000,2009-03-01
150,Agronomic Technology Corp,Big Data,USA,NY,New York City,New York,seed/angel,0,2014-01-13,2014-01, 2014-Q1 ,2014.0,250000,2013-11-26
151,Agronomic Technology Corp,Big Data,USA,NY,New York City,New York,venture,A,2014-10-08,2014-10, 2014-Q4 ,2014.0,2200000,2013-11-26
152,Ahalogy,Social Bookmarking,USA,OH,Cincinnati,Cincinnati,seed/angel,0,2012-10-01,2012-10, 2012-Q4 ,2012.0,250000,2012-10-01
153,Ahalogy,Social Bookmarking,USA,OH,Cincinnati,Cincinnati,venture,A,2014-01-21,2014-01, 2014-Q1 ,2014.0,3100000,2012-10-01
154,Airbnb,Travel,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2009-01-01,2009-01, 2009-Q1 ,2009.0,20000,2008-08-01
155,Airbnb,Travel,USA,CA,SF Bay Area,San Francisco,venture,A,2010-11-10,2010-11, 2010-Q4 ,2010.0,7200000,2008-08-01
156,Airbnb,Travel,USA,CA,SF Bay Area,San Francisco,venture,B,2011-07-25,2011-07, 2011-Q3 ,2011.0,112000000,2008-08-01
157,Airbnb,Travel,USA,CA,SF Bay Area,San Francisco,venture,C,2013-10-28,2013-10, 2013-Q4 ,2013.0,200000000,2008-08-01
158,Airbnb,Travel,USA,CA,SF Bay Area,San Francisco,venture,D,2014-04-16,2014-04, 2014-Q2 ,2014.0,475000000,2008-08-01
159,Airware,Aerospace,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2013-03-31,2013-03, 2013-Q1 ,2013.0,3000000,2011-05-01
160,Airware,Aerospace,USA,CA,SF Bay Area,San Francisco,venture,A,2013-05-15,2013-05, 2013-Q2 ,2013.0,12200000,2011-05-01
161,Airware,Aerospace,USA,CA,SF Bay Area,San Francisco,venture,B,2014-07-23,2014-07, 2014-Q3 ,2014.0,25000000,2011-05-01
162,Akebia Therapeutics,Biotechnology,USA,MA,Boston,Cambridge,venture,A,2009-09-15,2009-09, 2009-Q3 ,2009.0,16000000,2007-01-01
163,Akebia Therapeutics,Biotechnology,USA,MA,Boston,Cambridge,venture,B,2011-04-26,2011-04, 2011-Q2 ,2011.0,22000000,2007-01-01
164,Akebia Therapeutics,Biotechnology,USA,MA,Boston,Cambridge,venture,C,2013-06-04,2013-06, 2013-Q2 ,2013.0,41000000,2007-01-01
165,Aktana,Analytics,USA,CA,SF Bay Area,San Francisco,venture,A,2011-12-01,2011-12, 2011-Q4 ,2011.0,5000000,2008-01-01
166,Aktana,Analytics,USA,CA,SF Bay Area,San Francisco,venture,B,2013-07-08,2013-07, 2013-Q3 ,2013.0,2517424,2008-01-01
167,Alcresta,Biotechnology,USA,MA,Boston,Newton,venture,A,2012-04-17,2012-04, 2012-Q2 ,2012.0,10000000,2011-01-01
168,Alcresta,Biotechnology,USA,MA,Boston,Newton,venture,B,2013-07-22,2013-07, 2013-Q3 ,2013.0,10000000,2011-01-01
169,Alcyone Lifesciences,Biotechnology,USA,MA,Boston,Ayer,venture,A,2012-03-28,2012-03, 2012-Q1 ,2012.0,1800000,2010-01-01
170,Alcyone Lifesciences,Biotechnology,USA,MA,Boston,Ayer,venture,B,2014-01-15,2014-01, 2014-Q1 ,2014.0,4000000,2010-01-01
171,Alkami Technology,Software,USA,TX,Dallas,Plano,venture,A,2012-12-11,2012-12, 2012-Q4 ,2012.0,8500000,2009-11-01
172,Alkami Technology,Software,USA,TX,Dallas,Plano,venture,B,2014-02-20,2014-02, 2014-Q1 ,2014.0,13800000,2009-11-01
173,Alnara Pharmaceuticals,Health and Wellness,USA,MA,Boston,Cambridge,venture,A,2008-10-30,2008-10, 2008-Q4 ,2008.0,20000000,2008-01-01
174,Alnara Pharmaceuticals,Health and Wellness,USA,MA,Boston,Cambridge,venture,B,2010-01-28,2010-01, 2010-Q1 ,2010.0,35000000,2008-01-01
175,Alphabet Energy,Clean Technology,USA,CA,SF Bay Area,San Francisco,seed/angel,0,2010-05-03,2010-05, 2010-Q2 ,2010.0,1000000,2009-01-01
176,Alphabet Energy,Clean Technology,USA,CA,SF Bay Area,San Francisco,venture,A,2011-09-15,2011-09, 2011-Q3 ,2011.0,12000000,2009-01-01
177,Alphabet Energy,Clean Technology,USA,CA,SF Bay Area,San Francisco,venture,B,2013-03-11,2013-03, 2013-Q1 ,2013.0,16000000,2009-01-01
178,Alpine Data Labs,Big Data Analytics,USA,CA,SF Bay Area,San Francisco,venture,A,2011-05-11,2011-05, 2011-Q2 ,2011.0,7500000,2011-01-01
179,Alpine Data Labs,Big Data Analytics,USA,CA,SF Bay Area,San Francisco,venture,B,2013-11-22,2013-11, 2013-Q4 ,2013.0,16000000,2011-01-01
180,Altavoz,Entertainment,USA,MD,"Washington, D.C.",Rockville,seed/angel,0,2012-09-11,2012-09, 2012-Q3 ,2012.0,150000,2011-05-30
181,Altavoz,Entertainment,USA,MD,"Washington, D.C.",Rockville,venture,A,2013-01-31,2013-01, 2013-Q1 ,2013.0,50000,2011-05-30
182,"Alteryx, Inc.",Data Integration,USA,CA,Anaheim,Irvine,venture,A,2011-04-05,2011-04, 2011-Q2 ,2011.0,6000000,2010-01-01
