,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code,raised_amount_usd
459,/organization/virident-systems,Virident Systems,|Technology|Clean Technology|Hardware|Enterprise Software|,Software,USA,CA,SF Bay Area,Milpitas,/organization/western-digital,West,|Hardware + Software|,Hardware + Software,USA,CA,Anaheim,Lake Forest,9/9/13,2013-09,2013-Q3,2013,685000000,USD,72954999
58,/organization/binoptics,BinOptics,|Semiconductors|Telecommunications|Manufacturing|,Software,USA,NY,Elmira,Ithaca,/organization/m-a-com-technology-solutions,M/A-COM Technology Solutions,|Semiconductors|Mobile|,Semiconductors,USA,MA,Boston,Lowell,11/18/14,2014-11,2014-Q4,2014,230000000,USD,16000000
93,/organization/composite-software-inc,Composite Software,|Web CMS|Content|Software|,Software,USA,CA,SF Bay Area,San Mateo,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Enterprise Software,USA,CA,SF Bay Area,San Jose,6/20/13,2013-06,2013-Q2,2013,180000000,USD,14650003
106,/organization/cubetree,CubeTree,|Web Tools|Networking|Collaboration|Enterprise Software|,Software,USA,CA,SF Bay Area,Redwood City,/organization/successfactors,SuccessFactors,|SaaS|Career Management|Enterprises|Enterprise Software|,Enterprises,USA,CA,SF Bay Area,South San Francisco,5/3/10,2010-05,2010-Q2,2010,50000000,USD,11175000
474,/organization/wetpaint,Wetpaint,|Web Tools|Curated Web|,Software,USA,WA,Seattle,Seattle,/organization/viggle,"Viggle, Inc.",|Multi-level Marketing|Digital Entertainment|,Multi-level Marketing,USA,NY,New York City,New York,12/16/13,2013-12,2013-Q4,2013,30000000,USD,39750000
140,/organization/farecast,Farecast,|Transportation|Travel|Finance|,Transportation,USA,WA,Seattle,Seattle,/organization/microsoft,Microsoft,|Video Games|Software|,Software,USA,WA,Seattle,Redmond,4/17/08,2008-04,2008-Q2,2008,115000000,USD,20600000
472,/organization/waze,Waze,|Navigation|Transportation|,Transportation,USA,CA,SF Bay Area,Palo Alto,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,6/11/13,2013-06,2013-Q2,2013,996000000,USD,67000000
376,/organization/sidestep,SideStep,|Ticketing|Hotels|Travel|,Transportation,USA,CA,SF Bay Area,Santa Clara,/organization/kayak,KAYAK,|Travel|Search|,Travel,USA,CT,Hartford,Stamford,12/1/07,2007-12,2007-Q4,2007,180000000,USD,32000000
2,/organization/5min,5min Media,|Education|Video|Games|,Video,USA,NY,New York City,New York,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,9/28/10,2010-09,2010-Q3,2010,65000000,USD,12500000
116,/organization/digitalsmiths,Digitalsmiths,|Web Development|Video|Software|,Video,USA,NC,Raleigh,Durham,/organization/tivo,TiVo,|Television|Hardware + Software|,Television,USA,CA,CA - Other,Alviso,1/29/14,2014-01,2014-Q1,2014,135000000,USD,30500000
120,/organization/dropcam,Dropcam,|Video|Hardware|Security|Software|,Video,USA,CA,SF Bay Area,San Francisco,/organization/nest-labs,Nest Labs,|Home Automation|,Home Automation,USA,CA,SF Bay Area,Palo Alto,6/20/14,2014-06,2014-Q2,2014,555000000,USD,47800000
139,/organization/extend-media,Extend Media,|Video|Software|,Video,USA,MA,Boston,Newton,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Enterprise Software,USA,CA,SF Bay Area,San Jose,8/26/10,2010-08,2010-Q3,2010,80000000,USD,22000000
457,/organization/vidible,Vidible,|Advertising Exchanges|Video|,Video,USA,CA,SF Bay Area,San Francisco,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,12/1/14,2014-12,2014-Q4,2014,50000000,USD,3350673
267,/organization/mu-dynamics,Mu Dynamics,|Web Hosting|,Web Hosting,USA,CA,SF Bay Area,Sunnyvale,/organization/spirent,Spirent Communications,|Network Security|Location Based Services|Mobile|Wireless|Internet|VoIP|Public Relations|,VoIP,USA,CA,SF Bay Area,Sunnyvale,4/20/12,2012-04,2012-Q2,2012,40000000,USD,24000000
273,/organization/navini-networks,Navini Networks,|Web Hosting|,Web Hosting,USA,TX,Dallas,Richardson,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Enterprise Software,USA,CA,SF Bay Area,San Jose,10/23/07,2007-10,2007-Q4,2007,330000000,USD,13420000
286,/organization/npulse-technologies,nPulse Technologies,|Web Hosting|,Web Hosting,USA,VA,"Washington, D.C.",Charlottesville,/organization/fireeye,FireEye,|Network Security|Security|,Network Security,USA,CA,SF Bay Area,Milpitas,5/6/14,2014-05,2014-Q2,2014,70000000,USD,1000000
337,/organization/pure-networks,Pure Networks,|Web Hosting|,Web Hosting,USA,WA,Seattle,Seattle,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Enterprise Software,USA,CA,SF Bay Area,San Jose,7/22/08,2008-07,2008-Q3,2008,120000000,USD,12500000
368,/organization/seamicro,SeaMicro,|Web Hosting|,Web Hosting,USA,CA,SF Bay Area,Sunnyvale,/organization/amd,AMD,|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Sunnyvale,3/23/12,2012-03,2012-Q1,2012,334000000,USD,20000000
396,/organization/smartsynch,SmartSynch,|Web Hosting|,Web Hosting,USA,MS,Jackson,Jackson,/organization/itron,Itron,|Water|Clean Energy|Clean Technology|,Water,USA,WA,WA - Other,Liberty Lake,2/15/12,2012-02,2012-Q1,2012,100000000,USD,12000000
480,/organization/wichorus,WiChorus,|Web Hosting|,Web Hosting,USA,CA,SF Bay Area,San Jose,/organization/tellabs,Tellabs,|Public Relations|,Public Relations,USA,IL,Chicago,Naperville,10/22/09,2009-10,2009-Q4,2009,165000000,USD,27500000
