,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code,raised_amount_usd
68,/organization/breakingpoint-systems,BreakingPoint Systems,|Security|,Security,USA,TX,Austin,Austin,/organization/ixia,IXIA,|Web Hosting|,Web Hosting,USA,CA,Los Angeles,Calabasas,2012-07-02,2012-07,2012-Q3,2012.0,160.0,USD,15.0
69,/organization/bright-com,Bright.com,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/organization/linkedin,LinkedIn,|Social Recruiting|Software|Networking|Social Media|,Software,USA,CA,SF Bay Area,Mountain View,2014-02-06,2014-02,2014-Q1,2014.0,120.0,USD,20.0
70,/organization/brightroll,BrightRoll,|Advertising Platforms|Online Video Advertising|Advertising|Software|,Advertising,USA,CA,SF Bay Area,San Francisco,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,2014-11-11,2014-11,2014-Q4,2014.0,640.0,USD,36.0
72,/organization/broadlight,BroadLight,|Software|,Software,USA,CA,SF Bay Area,Santa Clara,/organization/broadcom,Broadcom,|Semiconductors|Mobile|,Semiconductors,USA,CA,Anaheim,Irvine,2012-03-21,2012-03,2012-Q1,2012.0,230.0,USD,22.0
73,/organization/bump-technologies,Bump Technologies,|Mobile|,Mobile,USA,CA,SF Bay Area,Mountain View,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,2013-12-31,2013-12,2013-Q4,2013.0,30.0,USD,19.9
75,/organization/calistoga-pharmaceuticals,Calistoga Pharmaceuticals,|Medical|Pharmaceuticals|Biotechnology|,Pharmaceuticals,USA,WA,Seattle,Seattle,/organization/gilead-sciences,Gilead Sciences,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Foster City,2011-02-22,2011-02,2011-Q1,2011.0,375.0,USD,92.0
76,/organization/cardiomems,CardioMEMS,|Medical Devices|Health Care|,Medical Devices,USA,GA,Atlanta,Atlanta,/organization/st-jude-medical,St. Jude Medical,|Medical Devices|,Medical Devices,USA,MN,Minneapolis,Saint Paul,2014-05-30,2014-05,2014-Q2,2014.0,455.0,USD,22.1
77,/organization/caring-com,Caring.com,|Baby Boomers|Elder Care|Senior Health|Local Based Services|Media|,Elder Care,USA,CA,SF Bay Area,San Mateo,/organization/bankrate,Bankrate,|Business Services|Curated Web|,Business Services,USA,FL,Palm Beaches,North Palm Beach,2014-05-08,2014-05,2014-Q2,2014.0,54.0,USD,23.519998
79,/organization/cashedge,CashEdge,|Finance|,Finance,USA,NY,New York City,New York,/organization/fiserv,Fiserv,|Information Technology|,Information Technology,USA,WI,Milwaukee,Brookfield,2011-09-14,2011-09,2011-Q3,2011.0,465.0,USD,25.0
80,/organization/caviar,Caviar,|Hospitality|Curated Web|,Hospitality,USA,CA,SF Bay Area,San Francisco,/organization/square,Square,|Hardware + Software|Finance|Analytics|P2P Money Transfer|Mobile Payments|Mobile|,P2P Money Transfer,USA,CA,SF Bay Area,San Francisco,2014-08-04,2014-08,2014-Q3,2014.0,90.0,USD,13.0
81,/organization/ception-therapeutics,Ception Therapeutics,|Biotechnology|,Biotechnology,USA,PA,Philadelphia,Malvern,/organization/cephalon,Cephalon,|Biotechnology|,Biotechnology,USA,PA,Philadelphia,Malvern,2010-02-23,2010-02,2010-Q1,2010.0,250.0,USD,77.7
83,/organization/change-healthcare,Change Healthcare,|Healthcare Services|Hospitals|Education|Health Care|,Hospitals,USA,TN,Nashville,Brentwood,/organization/emdeon,Emdeon,|Payments|Enterprise Software|,Payments,USA,TN,Nashville,Nashville,2014-11-19,2014-11,2014-Q4,2014.0,135.0,USD,25.3
84,/organization/pageonce,Check,|Sports|Mobile|,Sports,USA,CA,SF Bay Area,Palo Alto,/organization/intuit,Intuit,|Computers|Software|,Computers,USA,CA,SF Bay Area,Mountain View,2014-05-27,2014-05,2014-Q2,2014.0,360.0,USD,30.5
85,/organization/chil-semiconductor,CHiL Semiconductor,|Semiconductors|,Semiconductors,USA,CA,Los Angeles,El Segundo,/organization/international-rectifier,International Rectifier,|Semiconductors|,Semiconductors,USA,CA,Los Angeles,El Segundo,2011-02-28,2011-02,2011-Q1,2011.0,75.0,USD,21.7
86,/organization/cie-games,Cie Games,|Games|,Games,USA,CA,"Orange County, California",Long Beach,/organization/glu-mobile,Glu Mobile,|Technology|Mobile|,Technology,USA,CA,SF Bay Area,San Francisco,2014-07-30,2014-07,2014-Q3,2014.0,100.0,USD,3.0
87,/organization/circulite,CircuLite,|Health Care|,Health Care,USA,NJ,Newark,Teaneck,/organization/heartware-international,HeartWare International,|Hardware + Software|,Hardware + Software,USA,MA,Boston,Framingham,2013-12-02,2013-12,2013-Q4,2013.0,30.0,USD,62.5
88,/organization/citrus-lane,Citrus Lane,|Subscription Businesses|Kids|E-Commerce|,Subscription Businesses,USA,CA,SF Bay Area,Mountain View,/organization/care-com,Care.com,|Customer Service|Tutoring|Curated Web|,Customer Service,USA,MA,Boston,Waltham,2014-07-18,2014-07,2014-Q3,2014.0,48.6,USD,5.1
90,/organization/clearwell-systems,Clearwell Systems,|Ediscovery|Enterprise Software|,Ediscovery,USA,CA,SF Bay Area,Mountain View,/organization/symantec,Symantec,|Security|,Security,USA,CA,SF Bay Area,Mountain View,2011-07-11,2011-07,2011-Q3,2011.0,410.0,USD,29.0
93,/organization/composite-software-inc,Composite Software,|Web CMS|Content|Software|,Web CMS,USA,CA,SF Bay Area,San Mateo,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Enterprise Software,USA,CA,SF Bay Area,San Jose,2013-06-20,2013-06,2013-Q2,2013.0,180.0,USD,14.650003
94,/organization/concept-io,Concept.io,|Content Discovery|Personalization|Machine Learning|Mobile|,Personalization,USA,CA,SF Bay Area,Mountain View,/organization/apple,Apple,|Computers|Consumer Electronics|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Cupertino,2014-07-28,2014-07,2014-Q3,2014.0,30.0,USD,5.4
95,/organization/contrail-systems,Contrail Systems,|Software|,Software,USA,CA,SF Bay Area,Santa Clara,/organization/juniper-networks,Juniper Networks,|Communications Hardware|Technology|Security|,Communications Hardware,USA,CA,SF Bay Area,Sunnyvale,2012-12-13,2012-12,2012-Q4,2012.0,176.0,USD,10.0
96,/organization/convertro,Convertro,|Optimization|Advertising|,Optimization,USA,CA,Los Angeles,Santa Monica,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,2014-05-06,2014-05,2014-Q2,2014.0,101.0,USD,5.0
99,/organization/corventis,Corventis,|Health Care Information Technology|Health Care|Health and Wellness|Medical Devices|,Health Care,USA,CA,SF Bay Area,San Jose,/organization/medtronic,Medtronic,|Medical Devices|Biotechnology|,Medical Devices,USA,MN,Minneapolis,Minneapolis,2014-05-20,2014-05,2014-Q2,2014.0,150.0,USD,10.000006
100,/organization/cotendo,Cotendo,|Content Delivery|Software|,Software,USA,CA,SF Bay Area,Sunnyvale,/organization/akamai-technologies,Akamai Technologies,|SaaS|IaaS|Digital Media|Video Streaming|Data Security|Content Delivery|Cloud Computing|Business Services|Enterprise Software|,Business Services,USA,MA,Boston,Cambridge,2011-11-27,2011-11,2011-Q4,2011.0,268.0,USD,36.0
101,/organization/coverity,Coverity,|Open Source|Enterprise Software|,Open Source,USA,CA,SF Bay Area,San Francisco,/organization/synopsys,Synopsys,|Design|Semiconductors|Software|,Software,USA,CA,SF Bay Area,Mountain View,2014-02-19,2014-02,2014-Q1,2014.0,375.0,USD,22.0
102,/organization/cpower,CPower,|Clean Technology|,Clean Technology,USA,NY,New York City,New York,/organization/constellation-energy,Constellation Energy,|Energy|,Energy,USA,MD,Baltimore,Baltimore,2010-09-19,2010-09,2010-Q3,2010.0,78.0,USD,27.68
103,/organization/crashlytics,Crashlytics,|Mobile|,Mobile,USA,MA,Boston,Cambridge,/organization/twitter,Twitter,|Software|SMS|MicroBlogging|Messaging|Social Media|,Software,USA,CA,SF Bay Area,San Francisco,2013-01-28,2013-01,2013-Q1,2013.0,100.0,USD,5.0
106,/organization/cubetree,CubeTree,|Web Tools|Networking|Collaboration|Enterprise Software|,Web Tools,USA,CA,SF Bay Area,Redwood City,/organization/successfactors,SuccessFactors,|SaaS|Career Management|Enterprises|Enterprise Software|,Enterprises,USA,CA,SF Bay Area,South San Francisco,2010-05-03,2010-05,2010-Q2,2010.0,50.0,USD,11.175
107,/organization/cue,Cue,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/organization/apple,Apple,|Computers|Consumer Electronics|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Cupertino,2013-10-04,2013-10,2013-Q4,2013.0,50.0,USD,11.5
108,/organization/cyvek,CyVek,|Clinical Trials|Life Sciences|Biotechnology|,Life Sciences,USA,CT,Hartford,Wallingford,/organization/techne-corporation,Bio-Techne,|Medical Devices|Manufacturing|Biotechnology|,Biotechnology,USA,MN,Minneapolis,Minneapolis,2014-11-04,2014-11,2014-Q4,2014.0,195.0,USD,10.45
111,/organization/dapper,Dapper,|Music|Web Tools|Advertising|,Music,USA,CA,SF Bay Area,San Francisco,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,2010-10-05,2010-10,2010-Q4,2010.0,55.0,USD,3.0
112,/organization/assistly,Desk,|Customer Support Tools|Tech Field Support|Customer Service|CRM|SaaS|Enterprise Software|,Customer Support Tools,USA,CA,SF Bay Area,San Francisco,/organization/salesforce,Salesforce,|Software|Hardware + Software|Enterprises|Cloud Computing|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,2011-09-21,2011-09,2011-Q3,2011.0,50.0,USD,5.7
113,/organization/dialogic,Dialogic,|Communications Infrastructure|Networking|Software|,Communications Infrastructure,USA,CA,SF Bay Area,San Jose,/organization/novacap,Novacap,|Investment Management|,Investment Management,CAN,QC,Montreal,Longueuil,2014-10-12,2014-10,2014-Q4,2014.0,35.3,USD,39.529815
115,/organization/digital-fuel,Digital Fuel,|Software|,Software,USA,CA,SF Bay Area,San Mateo,/organization/vmware,VMware,|Software|,Software,USA,CA,SF Bay Area,Palo Alto,2011-06-13,2011-06,2011-Q2,2011.0,85.0,USD,5.0
116,/organization/digitalsmiths,Digitalsmiths,|Web Development|Video|Software|,Video,USA,NC,Raleigh,Durham,/organization/tivo,TiVo,|Television|Hardware + Software|,Television,USA,CA,CA - Other,Alviso,2014-01-29,2014-01,2014-Q1,2014.0,135.0,USD,30.5
117,/organization/dimdim,Dimdim,|Curated Web|,Curated Web,USA,MA,Boston,Lowell,/organization/salesforce,Salesforce,|Software|Hardware + Software|Enterprises|Cloud Computing|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,2011-01-06,2011-01,2011-Q1,2011.0,31.0,USD,8.4
118,/organization/divide,Divide,|Software|,Software,USA,NY,New York City,New York,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,2014-05-20,2014-05,2014-Q2,2014.0,120.0,USD,23.0
119,/organization/divx,DivX,|Video|Software|,Software,USA,CA,San Diego,San Diego,/organization/sonic-solutions,Sonic Solutions,|Software|,Software,USA,CA,SF Bay Area,Novato,2010-06-02,2010-06,2010-Q2,2010.0,323.0,USD,35.0
120,/organization/dropcam,Dropcam,|Video|Hardware|Security|Software|,Video,USA,CA,SF Bay Area,San Francisco,/organization/nest-labs,Nest Labs,|Home Automation|,Home Automation,USA,CA,SF Bay Area,Palo Alto,2014-06-20,2014-06,2014-Q2,2014.0,555.0,USD,47.8
121,/organization/dunenetworks,DuneNetworks,|Semiconductors|,Semiconductors,USA,CA,SF Bay Area,Sunnyvale,/organization/broadcom,Broadcom,|Semiconductors|Mobile|,Semiconductors,USA,CA,Anaheim,Irvine,2009-11-30,2009-11,2009-Q4,2009.0,178.0,USD,12.0
122,/organization/dvs-sciences,DVS Sciences,|Manufacturing|,Manufacturing,USA,CA,SF Bay Area,Sunnyvale,/organization/fluidigm,Fluidigm,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,South San Francisco,2014-01-29,2014-01,2014-Q1,2014.0,207.5,USD,14.6
123,/organization/dynatrace-software,dynaTrace software,|Apps|Software|,Software,USA,MA,Boston,Waltham,/organization/compuware,Compuware,|Enterprise Software|Information Technology|Testing|Consulting|Services|Software|,Enterprise Software,USA,MI,Detroit,Detroit,2011-07-06,2011-07,2011-Q3,2011.0,256.0,USD,17.9
124,/organization/edgecast,EdgeCast Networks,|Content|Content Delivery|Web Hosting|,Content,USA,CA,Los Angeles,Santa Monica,/organization/verizon,Verizon Communications,|Mobile|,Mobile,USA,NY,New York City,New York,2013-12-09,2013-12,2013-Q4,2013.0,350.0,USD,74.0
125,/organization/efficient-frontier,Efficient Frontier,|Advertising|,Advertising,USA,CA,SF Bay Area,Sunnyvale,/organization/adobe-systems,Adobe Systems,|Image Recognition|Design|Photo Editing|Creative|Software|,Photo Editing,USA,CA,SF Bay Area,San Jose,2011-11-30,2011-11,2011-Q4,2011.0,400.0,USD,6.0
127,/organization/elevation-pharmaceuticals,Elevation Pharmaceuticals,|Biotechnology|,Biotechnology,USA,CA,San Diego,San Diego,/organization/sunovion-pharmaceuticals,Sunovion Pharmaceuticals,|Biotechnology|,Biotechnology,USA,MA,Boston,Marlborough,2012-08-30,2012-08,2012-Q3,2012.0,430.0,USD,77.0
128,/organization/eloqua,Eloqua,|Marketing Automation|B2B|Sales and Marketing|Enterprise Software|,Enterprise Software,USA,VA,"Washington, D.C.",Vienna,/organization/oracle,Oracle Corporation,|Software|Hardware|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Redwood City,2012-12-20,2012-12,2012-Q4,2012.0,871.0,USD,35.8
129,/organization/ember,Ember,|Real Time|Video|Mobile|,Real Time,USA,CA,Anaheim,Irvine,/organization/silicon-laboratories,Silicon Laboratories,|Hardware + Software|,Hardware + Software,USA,AL,Huntsville,Huntsville,2012-05-21,2012-05,2012-Q2,2012.0,72.0,USD,20.0
132,/organization/eragen-biosciences,EraGen Biosciences,|Biotechnology|,Biotechnology,USA,WI,Madison,Madison,/organization/luminex,Luminex,|Biotechnology|,Biotechnology,USA,TX,Austin,Austin,2011-06-21,2011-06,2011-Q2,2011.0,34.0,USD,12.0
133,/organization/estech,Estech,|Health Care|,Health Care,USA,CA,SF Bay Area,San Ramon,/organization/atricure,AtriCure,|Medical Devices|,Medical Devices,USA,OH,Cincinnati,West Chester,2013-12-19,2013-12,2013-Q4,2013.0,60.0,USD,27.8
134,/organization/evalve,Evalve,|Health Care|,Health Care,USA,CA,SF Bay Area,Menlo Park,/organization/abbott,Abbott Labs,|Health and Wellness|Venture Capital|Medical|Biotechnology|,Health and Wellness,USA,IL,Chicago,Des Plaines,2009-09-11,2009-09,2009-Q3,2009.0,410.0,USD,60.0
135,/organization/evolution-robotics,Evolution Robotics,|Software|,Software,USA,CA,Los Angeles,Pasadena,/organization/irobot,iRobot,|Consumer Electronics|Hardware + Software|,Consumer Electronics,USA,MA,Boston,Bedford,2012-09-17,2012-09,2012-Q3,2012.0,74.0,USD,13.88
136,/organization/evolv-on-demand,Evolv,|Career Management|Enterprise Software|Analytics|,Career Management,USA,CA,SF Bay Area,San Francisco,/organization/cornerstone-ondemand,Cornerstone OnDemand,|Enterprises|Career Management|Software|,Career Management,USA,CA,Los Angeles,Santa Monica,2014-10-07,2014-10,2014-Q4,2014.0,44.5,USD,34.25
138,/organization/extend-health,Extend Health,|Finance|,Finance,USA,UT,Salt Lake City,Salt Lake City,/organization/towers-watson,Towers Watson,|Consulting|,Consulting,USA,NY,New York City,New York,2012-05-14,2012-05,2012-Q2,2012.0,435.0,USD,15.0
139,/organization/extend-media,Extend Media,|Video|Software|,Video,USA,MA,Boston,Newton,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Enterprise Software,USA,CA,SF Bay Area,San Jose,2010-08-26,2010-08,2010-Q3,2010.0,80.0,USD,22.0
140,/organization/farecast,Farecast,|Transportation|Travel|Finance|,Transportation,USA,WA,Seattle,Seattle,/organization/microsoft,Microsoft,|Video Games|Software|,Software,USA,WA,Seattle,Redmond,2008-04-17,2008-04,2008-Q2,2008.0,115.0,USD,20.6
141,/organization/feedburner,FeedBurner,|Curated Web|,Curated Web,USA,IL,Chicago,Chicago,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,2007-06-01,2007-06,2007-Q2,2007.0,100.0,USD,8.0
144,/organization/flurry,Flurry,|Mobile|Advertising|,Mobile,USA,CA,SF Bay Area,San Francisco,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,2014-07-21,2014-07,2014-Q3,2014.0,200.0,USD,63.0
145,/organization/foliodynamix,FolioDynamix,|Finance|,Finance,USA,NY,New York City,New York,/organization/icg-group,Actua Corporation,|Venture Capital|Financial Services|Professional Services|,Professional Services,USA,PA,Philadelphia,Radnor,2014-09-15,2014-09,2014-Q3,2014.0,199.0,USD,16.0
148,/organization/fraud-sciences,Fraud Sciences,|Security|,Security,USA,CA,SF Bay Area,Palo Alto,/organization/paypal,PayPal,|Payments|P2P Money Transfer|E-Commerce|Databases|Finance|,Payments,USA,CA,SF Bay Area,San Jose,2008-01-28,2008-01,2008-Q1,2008.0,169.0,USD,11.0
149,/organization/freewheel,FreeWheel,|Advertising|Video|Television|Enterprise Software|,Advertising,USA,CA,SF Bay Area,San Mateo,/organization/comcast,Comcast,|Web Hosting|,Web Hosting,USA,PA,Philadelphia,Philadelphia,2014-03-02,2014-03,2014-Q1,2014.0,320.0,USD,37.049998
